Time (s),u: X (4),u: Y (4),u: Z (4),,Time (s),u: X (3),u: Y (3),u: Z (3),,Time (s),u: X (5),u: Y (5),u: Z (5),,Time (s),Rot Vec: X (84),Rot Vec: Y (84),Rot Vec: Z (84),,Time (s),Lin Acc: X (82),Lin Acc: Y (82),Lin Acc: Z (82),,
48507.75507,0.053,-0.069,0.028,,48507.73014,-0.393,3.641,9.506,,48507.75507,-22.461,-38.245,-24.329,,48507.78993,0.09,-0.166,-0.917,,48507.78993,0.034,0.097,-0.429,,
48507.76005,0.058,-0.058,0.047,,48507.73515,-0.424,3.673,9.632,,48507.775,-22.461,-38.245,-24.329,,48507.79989,0.091,-0.167,-0.917,,48507.79989,-0.068,0.076,-0.464,,
48507.76502,0.056,-0.039,0.034,,48507.74012,-0.495,3.628,9.609,,48507.79492,-22.656,-38.342,-24.451,,48507.80487,0.094,-0.168,-0.915,,48507.80487,-0.311,-0.031,-0.425,,
48507.77,0.047,-0.017,0.035,,48507.7451,-0.556,3.598,9.57,,48507.81485,-22.656,-38.049,-24.585,,48507.81982,0.095,-0.168,-0.915,,48507.81982,-0.225,-0.058,-0.196,,
48507.775,0.036,-0.004,0.035,,48507.7501,-0.598,3.585,9.519,,48507.83475,-23.047,-38.049,-24.829,,48507.82977,0.094,-0.168,-0.915,,48507.8248,-0.124,-0.071,0.069,,
48507.77998,0.019,0.003,0.026,,48507.75507,-0.625,3.606,9.442,,48507.85467,-22.754,-37.952,-24.963,,48507.83475,0.093,-0.167,-0.916,,48507.83475,0.035,-0.113,0.572,,
48507.78495,0.002,0,0.017,,48507.76005,-0.624,3.624,9.297,,48507.87457,-22.656,-38.342,-24.707,,48507.84469,0.091,-0.166,-0.916,,48507.84469,0.092,-0.127,0.704,,
48507.78993,-0.012,-0.008,0.007,,48507.76502,-0.556,3.617,9.097,,48507.8945,-22.559,-38.147,-24.707,,48507.8497,0.09,-0.166,-0.917,,48507.8497,0.108,-0.114,0.693,,
48507.79492,-0.024,-0.022,-0.002,,48507.77,-0.515,3.673,9,,48507.9144,-22.754,-38.342,-24.963,,48507.85467,0.089,-0.165,-0.917,,48507.85467,0.113,-0.022,0.528,,
48507.79989,-0.033,-0.049,-0.009,,48507.775,-0.475,3.694,8.917,,48507.93432,-22.949,-37.854,-24.829,,48507.85965,0.088,-0.165,-0.917,,48507.85965,0.139,0.041,0.363,,
48507.80487,-0.034,-0.083,-0.013,,48507.77998,-0.467,3.74,8.867,,48507.95422,-22.754,-38.635,-24.585,,48507.8696,0.088,-0.166,-0.917,,48507.8696,0.139,0.102,0.195,,
